Feature,Mean_Absolute_SHAP
Equity_Capital,0.40400508
Cash_Conversion_Cycle,0.3276438
Profit_Margin,0.23916823
Interest_Coverage,0.19098198
CFF,0.17311609
Borrowings,0.15952438
FCF_Revenue,0.15732151
CFO_OP,0.15571861
CFI,0.13024129
Other_Assets,0.119600385
Revenue_Growth,0.09005772
CFO,0.07710605
FCF,0.07564821
Debtor_Days,0.058514766
PAT,0.052703492
Operating_Margin,0.046623245
CWIP,0.042155694
Interest,0.040363483
Fixed_Assets,0.03907654
Depreciation,0.037190385
Other_Income,0.03394368
Working_Capital_Days,0.031184934
Days_Payable,0.028956901
CFO_Revenue,0.0277043
CFO_Growth,0.02406441
Net_Cash_Flow,0.02058751
Investments,0.01876299
Debt_Growth,0.016676556
Inventory_Days,0.016449163
Total_Liabilities,0.013288442
Reserves,0.011859024
Revenue,0.0112090055
CFO_PAT,0.010172393
Other_Liabilities,0.008562497
PAT_Growth,0.0078083463
Profit_Before_Tax,0.007635406
FCF_Growth,0.0076036234
Total_Assets,0.00497999
Operating_Profit,0.0013616426
Negative_CFO,0.0
Negative_FCF,0.0
Negative_PAT,0.0
